,Date,Headline CPI,Core CPI,,Headline CPI,Core CPI,,Regulated Items,Fruits and vegatables,,Regulated Items,Fruits and vegatables
?????? 2019,19-Oct,0.996,1.103,,3.146,2.723,,1.998,-4.442,,12.46,-13.355
?????? 2019,19-Nov,-0.301,-0.135,,3.628,2.114,,0.092,-4.253,,12.529,-11.933
??????? 2019,19-Dec,-0.153,0.217,,7.1,2.374,,-1.459,0.533,,10.766,9.967
????? 2020,20-Jan,0.666,0.693,,7.168,2.663,,0.17,2.497,,10.889,10.272
?????? 2020,20-Feb,-0.012,0.246,,5.319,1.916,,0.001,-3.652,,10.871,-1.083
???? 2020,20-Mar,0.609,0.424,,5.092,1.887,,1.303,0.148,,12.239,-4.127
????? 2020,20-Apr,1.252,1.007,,5.881,2.541,,-0.06,10.761,,12.112,4.548
???? 2020,20-May,-0.014,0.255,,4.696,1.542,,0.105,-4.045,,11.641,-0.965
????? 2020,20-Jun,0.088,-0.31,,5.631,0.954,,0.753,2.697,,12.378,8.38
????? 2020,20-Jul,0.38,-0.117,,4.203,0.722,,2.542,-2.087,,8.62,2.456
????? 2020,20-Aug,-0.153,-0.248,,3.366,0.836,,0.81,-3.107,,9.039,-5.636
?????? 2020,20-Sep,0.289,0.093,,3.694,3.264,,0.954,-0.005,,7.386,-5.808
?????? 2020,20-Oct,1.801,1.715,,4.52,3.889,,2.578,-0.6,,7.998,-2.02
?????? 2020,20-Nov,0.821,-0.008,,5.696,4.021,,-0.02,16.764,,7.877,19.487
??????? 2020,20-Dec,-0.407,0.007,,5.428,3.803,,-0.014,-7.098,,9.459,10.417
????? 2021,21-Jan,-0.426,0.532,,4.285,3.637,,0.022,-15.08,,9.297,-8.518
?????? 2021,21-Feb,0.151,0.254,,4.455,3.645,,0.396,-2.734,,9.729,-7.647
???? 2021,21-Mar,0.63,0.451,,4.476,3.672,,0.018,6.797,,8.337,-1.516
????? 2021,21-Apr,0.888,0.675,,4.101,3.331,,0.417,6.482,,8.854,-5.32
???? 2021,21-May,0.685,0.334,,4.829,3.413,,0.129,8.371,,8.88,6.931
????? 2021,21-Jun,0.184,0.111,,4.93,3.849,,1.334,-3.866,,9.507,0.098
????? 2021,21-Jul,0.873,0.574,,5.446,4.567,,2.272,-1.425,,9.219,0.774
????? 2021,21-Aug,0.07,-0.288,,5.682,4.526,,0.192,4.546,,8.55,8.733
?????? 2021,21-Sep,1.141,0.401,,6.579,4.848,,0.113,15.825,,7.646,25.946
?????? 2021,21-Oct,1.502,2.077,,6.267,5.221,,1.341,-4.574,,6.348,20.911
?????? 2021,21-Nov,0.147,0.533,,5.556,5.79,,1.342,-9.707,,7.796,-6.5
??????? 2021,21-Dec,-0.083,0.175,,5.899,5.968,,0.343,-5.677,,8.181,-5.07
????? 2022,22-Jan,0.854,0.817,,7.259,6.269,,0.704,2.142,,8.919,14.182
?????? 2022,22-Feb,1.608,1.164,,8.819,7.234,,0.176,15.165,,8.68,35.195
???? 2022,22-Mar,2.176,3.093,,10.491,10.055,,0.385,-1.884,,9.079,24.205
